Department,Month_Label,Headcount,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Headcount_Change,Productivity_Change_Percentage_Points,Department_Risk_Flag
Marketing,2026-02,3,249,226,413.4,480,12628.12,90.76,86.12,0.0,2.69,No Immediate Risk
Marketing,2026-03,3,261,243,458.1,480,14029.18,93.1,95.44,0.0,2.34,No Immediate Risk
Marketing,2026-04,3,273,242,427.2,480,13878.14,88.64,89.0,0.0,-4.46,No Immediate Risk
Marketing,2026-05,3,266,251,459.5,480,13651.06,94.36,95.73,0.0,5.72,No Immediate Risk
Marketing,2026-06,2,186,168,310.70000000000005,320,9132.18,90.32,97.09,-1.0,-4.04,No Immediate Risk
Marketing,2026-07,2,192,161,302.4,320,8988.68,83.85,94.5,0.0,-6.47,No Immediate Risk
Marketing,2026-08,2,191,163,298.2,320,9174.9,85.34,93.19,0.0,1.49,No Immediate Risk
Operations,2026-01,13,1602,1456,1798.8,2080,26027.45,90.89,86.48,,,No Immediate Risk
Operations,2026-02,13,1675,1439,1807.6,2080,26487.36,85.91,86.9,0.0,-4.98,No Immediate Risk
Operations,2026-03,15,2017,1623,2016.2,2400,29425.41,80.47,84.01,2.0,-5.44,Headcount Increasing - Productivity Declining
Operations,2026-04,16,2155,1700,2128.3,2560,30991.08,78.89,83.14,1.0,-1.58,Headcount Increasing - Productivity Declining
Operations,2026-05,15,2072,1537,1930.5,2400,28689.82,74.18,80.44,-1.0,-4.71,No Immediate Risk
Operations,2026-06,15,2232,1529,1891.4,2400,27808.59,68.5,78.81,0.0,-5.68,No Immediate Risk
Operations,2026-07,16,2425,1632,2027.7,2560,29488.32,67.3,79.21,1.0,-1.2,Headcount Increasing - Productivity Declining
Operations,2026-08,16,2430,1595,1974.4,2560,28951.05,65.64,77.12,0.0,-1.66,No Immediate Risk
Quality,2026-01,8,841,788,1136.5,1280,18808.4,93.7,88.79,,,No Immediate Risk
Quality,2026-02,8,866,791,1130.6000000000001,1280,19362.5,91.34,88.33,0.0,-2.36,No Immediate Risk
Quality,2026-03,8,865,795,1157.8,1280,18883.14,91.91,90.45,0.0,0.57,No Immediate Risk
Quality,2026-04,8,897,810,1154.9,1280,19728.89,90.3,90.23,0.0,-1.61,No Immediate Risk
Quality,2026-05,8,929,853,1206.7,1280,20846.08,91.82,94.27,0.0,1.52,No Immediate Risk
Quality,2026-06,8,927,826,1176.6,1280,19508.73,89.1,91.92,0.0,-2.72,No Immediate Risk
Quality,2026-07,8,937,827,1177.8,1280,20225.95,88.26,92.02,0.0,-0.84,No Immediate Risk
Quality,2026-08,7,826,740,1054.2,1120,17886.3,89.59,94.12,-1.0,1.33,No Immediate Risk
Sales,2026-01,12,496,455,1625.4,1920,100953.75,91.73,84.66,,,No Immediate Risk
Sales,2026-02,12,523,482,1695.4,1920,106228.75,92.16,88.3,0.0,0.43,No Immediate Risk
Sales,2026-03,13,580,512,1843.8,2080,115184.28,88.28,88.64,1.0,-3.88,Headcount Increasing - Productivity Declining
Sales,2026-04,13,593,502,1760.0,2080,112663.29,84.65,84.62,0.0,-3.63,No Immediate Risk
Sales,2026-05,14,656,516,1859.0,2240,115186.22,78.66,82.99,1.0,-5.99,Headcount Increasing - Productivity Declining
Sales,2026-06,15,723,549,1937.6,2400,122823.88,75.93,80.73,1.0,-2.73,Headcount Increasing - Productivity Declining
Sales,2026-07,15,733,530,1885.2,2400,118381.17,72.31,78.55,0.0,-3.62,No Immediate Risk
Sales,2026-08,12,604,428,1518.7,1920,97238.74,70.86,79.1,-3.0,-1.45,No Immediate Risk
Technology,2026-01,9,646,602,1260.1,1440,57228.94,93.19,87.51,,,No Immediate Risk
Technology,2026-02,9,689,614,1330.9,1440,58570.99,89.11,92.42,0.0,-4.08,No Immediate Risk
Technology,2026-03,9,704,608,1333.7,1440,58239.99,86.36,92.62,0.0,-2.75,No Immediate Risk
Technology,2026-04,10,830,673,1426.3,1600,65538.62,81.08,89.14,1.0,-5.28,Headcount Increasing - Productivity Declining
Technology,2026-05,10,882,686,1478.5,1600,65913.97,77.78,92.41,0.0,-3.3,No Immediate Risk
Technology,2026-06,10,927,724,1544.1,1600,69888.79,78.1,96.51,0.0,0.32,No Immediate Risk
Technology,2026-07,10,977,711,1505.8,1600,67912.0,72.77,94.11,0.0,-5.33,No Immediate Risk
Technology,2026-08,11,1119,758,1628.6,1760,73577.58,67.74,92.53,1.0,-5.03,Headcount Increasing - Productivity Declining
