Employee_ID,Month_Label,Department,Team,Manager,Workload_Units,Completed_Units,Productive_Hours,Available_Hours,Average_Quality_Score,Revenue_Contribution,Productivity_Percentage,Capacity_Utilization_Percentage,Monthly_Productivity_Change
E0012,2026-02,Marketing,MKT-A,Marketing Manager 1,83,80,142.6,160,94.02,4388.68,96.39,89.12,7.93
E0012,2026-03,Marketing,MKT-A,Marketing Manager 1,91,85,154.9,160,93.85,4952.62,93.41,96.81,-2.98
E0012,2026-04,Marketing,MKT-A,Marketing Manager 1,91,84,146.1,160,93.18,4745.16,92.31,91.31,-1.1
E0012,2026-05,Marketing,MKT-A,Marketing Manager 1,88,89,155.4,160,97.86,5013.07,101.14,97.12,8.83
E0012,2026-06,Marketing,MKT-A,Marketing Manager 1,95,85,156.3,160,91.8,4758.75,89.47,97.69,-11.67
E0012,2026-07,Marketing,MKT-A,Marketing Manager 1,97,87,165.3,160,95.46,4673.15,89.69,103.31,0.22
E0012,2026-08,Marketing,MKT-A,Marketing Manager 1,97,77,134.5,160,93.66,4319.01,79.38,84.06,-10.31
E0013,2026-01,Customer Support,SUP-C,Customer Manager 1,170,117,109.5,160,85.15,1416.69,68.82,68.44,
E0013,2026-02,Customer Support,SUP-C,Customer Manager 1,149,148,141.4,160,89.35,1891.88,99.33,88.38,30.51
E0013,2026-03,Customer Support,SUP-C,Customer Manager 1,159,149,149.7,160,97.4,1881.21,93.71,93.56,-5.62
E0013,2026-04,Customer Support,SUP-C,Customer Manager 1,180,168,153.2,160,88.52,2151.78,93.33,95.75,-0.38
E0013,2026-05,Customer Support,SUP-C,Customer Manager 1,171,155,145.2,160,87.64,1886.62,90.64,90.75,-2.69
E0013,2026-06,Customer Support,SUP-C,Customer Manager 1,182,139,126.3,160,86.35,1770.97,76.37,78.94,-14.27
E0013,2026-07,Customer Support,SUP-C,Customer Manager 1,161,140,129.6,160,90.21,1612.39,86.96,81.0,10.59
E0013,2026-08,Customer Support,SUP-C,Customer Manager 1,166,144,138.3,160,93.64,1778.91,86.75,86.44,-0.21
E0014,2026-01,Quality,QUA-A,Quality Manager 2,112,105,154.0,160,91.14,2459.24,93.75,96.25,
E0014,2026-02,Quality,QUA-A,Quality Manager 2,103,94,132.2,160,92.78,2245.39,91.26,82.62,-2.49
E0014,2026-03,Quality,QUA-A,Quality Manager 2,105,98,143.1,160,93.84,2468.43,93.33,89.44,2.07
E0014,2026-04,Quality,QUA-A,Quality Manager 2,102,92,127.1,160,89.33,2231.75,90.2,79.44,-3.13
E0014,2026-05,Quality,QUA-A,Quality Manager 2,110,103,150.4,160,88.1,2456.89,93.64,94.0,3.44
E0014,2026-06,Quality,QUA-A,Quality Manager 2,122,107,158.2,160,90.28,2580.1,87.7,98.87,-5.94
E0014,2026-07,Quality,QUA-A,Quality Manager 2,126,108,148.8,160,91.11,2714.46,85.71,93.0,-1.99
E0014,2026-08,Quality,QUA-A,Quality Manager 2,115,109,154.2,160,93.95,2703.31,94.78,96.37,9.07
E0015,2026-01,Technology,TEC-B,Technology Manager 3,69,63,127.0,160,86.95,5723.95,91.3,79.38,
E0015,2026-02,Technology,TEC-B,Technology Manager 3,77,73,161.6,160,91.06,6661.93,94.81,101.0,3.51
E0015,2026-03,Technology,TEC-B,Technology Manager 3,77,69,154.3,160,87.86,6368.25,89.61,96.44,-5.2
E0015,2026-04,Technology,TEC-B,Technology Manager 3,85,65,136.4,160,93.88,6164.75,76.47,85.25,-13.14
E0015,2026-05,Technology,TEC-B,Technology Manager 3,94,67,141.2,160,99.5,6450.12,71.28,88.25,-5.19
E0015,2026-06,Technology,TEC-B,Technology Manager 3,92,71,156.3,160,94.7,7087.53,77.17,97.69,5.89
E0015,2026-07,Technology,TEC-B,Technology Manager 3,104,66,135.1,160,94.65,6204.31,63.46,84.44,-13.71
E0015,2026-08,Technology,TEC-B,Technology Manager 3,92,67,144.8,160,89.21,6664.45,72.83,90.5,9.37
E0016,2026-04,Operations,OPS-A,Operations Manager 2,139,79,95.0,160,92.97,1353.49,56.83,59.38,
E0016,2026-05,Operations,OPS-A,Operations Manager 2,146,79,100.0,160,95.39,1400.64,54.11,62.5,-2.72
E0016,2026-06,Operations,OPS-A,Operations Manager 2,150,90,113.2,160,90.05,1699.28,60.0,70.75,5.89
E0016,2026-07,Operations,OPS-A,Operations Manager 2,154,98,121.6,160,93.57,1716.59,63.64,76.0,3.64
E0016,2026-08,Operations,OPS-A,Operations Manager 2,142,107,126.0,160,91.86,1995.07,75.35,78.75,11.71
E0017,2026-01,Customer Support,SUP-C,Customer Manager 1,158,135,137.8,160,92.34,1577.06,85.44,86.12,
E0017,2026-02,Customer Support,SUP-C,Customer Manager 1,175,159,144.1,160,85.84,1824.22,90.86,90.06,5.42
E0017,2026-03,Customer Support,SUP-C,Customer Manager 1,155,143,136.8,160,89.82,1743.0,92.26,85.5,1.4
E0017,2026-04,Customer Support,SUP-C,Customer Manager 1,178,149,138.1,160,96.89,1743.86,83.71,86.31,-8.55
E0017,2026-05,Customer Support,SUP-C,Customer Manager 1,176,139,136.0,160,92.08,1782.38,78.98,85.0,-4.73
E0017,2026-06,Customer Support,SUP-C,Customer Manager 1,156,149,146.4,160,95.36,1735.79,95.51,91.5,16.53
E0017,2026-07,Customer Support,SUP-C,Customer Manager 1,162,151,146.6,160,93.78,1814.11,93.21,91.62,-2.3
E0017,2026-08,Customer Support,SUP-C,Customer Manager 1,191,146,141.3,160,93.65,1732.92,76.44,88.31,-16.77
E0018,2026-01,Quality,QUA-B,Quality Manager 1,110,107,157.8,160,88.78,2444.69,97.27,98.62,
E0018,2026-02,Quality,QUA-B,Quality Manager 1,108,104,154.6,160,94.14,2636.99,96.3,96.62,-0.97
E0018,2026-03,Quality,QUA-B,Quality Manager 1,115,96,139.5,160,89.2,2217.8,83.48,87.19,-12.82
E0018,2026-04,Quality,QUA-B,Quality Manager 1,116,102,148.6,160,94.16,2615.45,87.93,92.88,4.45
E0018,2026-05,Quality,QUA-B,Quality Manager 1,114,101,144.7,160,95.88,2426.19,88.6,90.44,0.67
E0018,2026-06,Quality,QUA-B,Quality Manager 1,104,96,132.7,160,97.41,2264.62,92.31,82.94,3.71
E0018,2026-07,Quality,QUA-B,Quality Manager 1,111,108,145.5,160,91.65,2771.59,97.3,90.94,4.99
E0018,2026-08,Quality,QUA-B,Quality Manager 1,113,101,151.4,160,89.78,2557.07,89.38,94.62,-7.92
E0019,2026-01,HR,HR-A,HR Manager 2,77,76,160.8,160,94.24,2065.6,98.7,100.5,
E0019,2026-02,HR,HR-A,HR Manager 2,83,73,136.8,160,89.64,2013.59,87.95,85.5,-10.75
E0019,2026-03,HR,HR-A,HR Manager 2,73,72,142.2,160,91.07,2056.04,98.63,88.88,10.68
E0019,2026-04,HR,HR-A,HR Manager 2,78,72,151.5,160,83.75,1916.46,92.31,94.69,-6.32
E0019,2026-05,HR,HR-A,HR Manager 2,83,77,148.8,160,97.03,2280.85,92.77,93.0,0.46
E0019,2026-06,HR,HR-A,HR Manager 2,87,68,142.0,160,89.14,1848.03,78.16,88.75,-14.61
E0019,2026-07,HR,HR-A,HR Manager 2,89,82,161.7,160,96.44,2236.89,92.13,101.06,13.97
E0019,2026-08,HR,HR-A,HR Manager 2,88,83,164.5,160,91.13,2260.52,94.32,102.81,2.19
E0020,2026-01,Customer Support,SUP-A,Customer Manager 1,146,139,132.9,160,90.37,1618.15,95.21,83.06,
E0020,2026-02,Customer Support,SUP-A,Customer Manager 1,160,152,156.1,160,91.33,1743.85,95.0,97.56,-0.21
E0020,2026-03,Customer Support,SUP-A,Customer Manager 1,174,140,134.9,160,90.41,1686.38,80.46,84.31,-14.54
E0020,2026-04,Customer Support,SUP-A,Customer Manager 1,151,153,153.1,160,92.31,1813.37,101.32,95.69,20.86
E0020,2026-05,Customer Support,SUP-A,Customer Manager 1,154,140,137.9,160,96.3,1766.04,90.91,86.19,-10.41
E0020,2026-06,Customer Support,SUP-A,Customer Manager 1,158,141,135.0,160,90.95,1623.65,89.24,84.38,-1.67
E0020,2026-07,Customer Support,SUP-A,Customer Manager 1,187,165,169.7,160,99.5,2054.22,88.24,106.06,-1.0
E0020,2026-08,Customer Support,SUP-A,Customer Manager 1,187,172,162.9,160,88.95,2007.17,91.98,101.81,3.74
E0021,2026-01,Quality,QUA-A,Quality Manager 3,113,102,149.2,160,87.36,2351.37,90.27,93.25,
E0021,2026-02,Quality,QUA-A,Quality Manager 3,112,94,130.3,160,93.9,2347.68,83.93,81.44,-6.34
E0021,2026-03,Quality,QUA-A,Quality Manager 3,111,106,148.4,160,90.86,2420.25,95.5,92.75,11.57
E0021,2026-04,Quality,QUA-A,Quality Manager 3,108,100,145.3,160,86.97,2562.09,92.59,90.81,-2.91
E0021,2026-05,Quality,QUA-A,Quality Manager 3,112,104,138.7,160,91.3,2449.07,92.86,86.69,0.27
E0021,2026-06,Quality,QUA-A,Quality Manager 3,113,104,144.9,160,92.83,2434.54,92.04,90.56,-0.82
E0021,2026-07,Quality,QUA-A,Quality Manager 3,120,98,139.7,160,94.97,2302.09,81.67,87.31,-10.37
E0021,2026-08,Quality,QUA-A,Quality Manager 3,121,109,151.4,160,90.28,2543.19,90.08,94.62,8.41
E0022,2026-01,Operations,OPS-B,Operations Manager 1,123,89,107.2,160,92.35,1621.14,72.36,67.0,
E0022,2026-02,Operations,OPS-B,Operations Manager 1,125,86,103.7,160,85.17,1624.09,68.8,64.81,-3.56
E0022,2026-03,Operations,OPS-B,Operations Manager 1,138,95,124.8,160,85.44,1757.17,68.84,78.0,0.04
E0022,2026-04,Operations,OPS-B,Operations Manager 1,134,93,109.4,160,88.69,1735.73,69.4,68.38,0.56
E0022,2026-05,Operations,OPS-B,Operations Manager 1,144,100,122.4,160,86.61,1916.56,69.44,76.5,0.04
E0022,2026-06,Operations,OPS-B,Operations Manager 1,132,104,122.1,160,88.31,1830.33,78.79,76.31,9.35
E0022,2026-07,Operations,OPS-B,Operations Manager 1,145,99,127.8,160,92.6,1887.77,68.28,79.88,-10.51
E0022,2026-08,Operations,OPS-B,Operations Manager 1,152,108,127.7,160,93.18,1983.53,71.05,79.81,2.77
E0023,2026-06,Sales,SAL-A,Sales Manager 1,44,28,100.0,160,89.14,6202.52,63.64,62.5,
E0023,2026-07,Sales,SAL-A,Sales Manager 1,51,24,87.7,160,96.15,5085.77,47.06,54.81,-16.58
E0023,2026-08,Sales,SAL-A,Sales Manager 1,55,29,104.4,160,88.03,6515.53,52.73,65.25,5.67
E0024,2026-01,Operations,OPS-C,Operations Manager 3,129,115,152.8,160,89.56,2057.3,89.15,95.5,
E0024,2026-02,Operations,OPS-C,Operations Manager 3,134,121,147.7,160,93.36,2261.15,90.3,92.31,1.15
E0024,2026-03,Operations,OPS-C,Operations Manager 3,127,106,136.2,160,86.45,1844.61,83.46,85.12,-6.84
E0024,2026-04,Operations,OPS-C,Operations Manager 3,124,103,132.8,160,94.72,1847.18,83.06,83.0,-0.4
E0024,2026-05,Operations,OPS-C,Operations Manager 3,145,107,138.8,160,94.99,2027.38,73.79,86.75,-9.27
E0024,2026-06,Operations,OPS-C,Operations Manager 3,149,97,122.6,160,93.32,1660.96,65.1,76.62,-8.69
E0024,2026-07,Operations,OPS-C,Operations Manager 3,158,109,136.3,160,93.03,2075.12,68.99,85.19,3.89
E0024,2026-08,Operations,OPS-C,Operations Manager 3,155,111,133.3,160,94.77,2004.03,71.61,83.31,2.62
E0025,2026-01,HR,HR-A,HR Manager 2,72,66,124.3,160,90.1,1863.02,91.67,77.69,
E0025,2026-02,HR,HR-A,HR Manager 2,84,73,150.2,160,91.46,2139.2,86.9,93.88,-4.77
E0025,2026-03,HR,HR-A,HR Manager 2,78,80,152.7,160,86.32,2183.32,102.56,95.44,15.66
E0025,2026-04,HR,HR-A,HR Manager 2,73,69,134.9,160,98.82,1977.66,94.52,84.31,-8.04
E0025,2026-05,HR,HR-A,HR Manager 2,83,82,157.8,160,92.56,2314.65,98.8,98.62,4.28
E0025,2026-06,HR,HR-A,HR Manager 2,82,70,132.0,160,95.31,2005.48,85.37,82.5,-13.43
E0025,2026-07,HR,HR-A,HR Manager 2,88,72,149.8,160,95.95,2082.33,81.82,93.62,-3.55
E0025,2026-08,HR,HR-A,HR Manager 2,80,71,148.2,160,93.08,2011.41,88.75,92.62,6.93
E0026,2026-01,Customer Support,SUP-C,Customer Manager 1,161,158,145.9,160,94.1,1889.07,98.14,91.19,
E0026,2026-02,Customer Support,SUP-C,Customer Manager 1,160,145,135.4,160,88.41,1792.58,90.62,84.62,-7.52
E0026,2026-03,Customer Support,SUP-C,Customer Manager 1,174,149,144.7,160,97.07,1846.22,85.63,90.44,-4.99
E0026,2026-04,Customer Support,SUP-C,Customer Manager 1,152,145,148.1,160,88.37,1739.81,95.39,92.56,9.76
E0026,2026-05,Customer Support,SUP-C,Customer Manager 1,168,149,147.1,160,92.49,1751.45,88.69,91.94,-6.7
E0026,2026-06,Customer Support,SUP-C,Customer Manager 1,157,138,137.7,160,88.9,1737.11,87.9,86.06,-0.79
E0026,2026-07,Customer Support,SUP-C,Customer Manager 1,188,138,142.0,160,90.09,1663.43,73.4,88.75,-14.5
E0026,2026-08,Customer Support,SUP-C,Customer Manager 1,174,163,163.2,160,98.01,2074.06,93.68,102.0,20.28
E0027,2026-01,Operations,OPS-B,Operations Manager 2,123,112,130.6,160,88.27,2029.39,91.06,81.62,
E0027,2026-02,Operations,OPS-B,Operations Manager 2,122,113,132.9,160,88.93,2031.32,92.62,83.06,1.56
E0027,2026-03,Operations,OPS-B,Operations Manager 2,136,115,135.5,160,92.48,2161.23,84.56,84.69,-8.06
E0027,2026-04,Operations,OPS-B,Operations Manager 2,140,113,141.6,160,93.45,2130.48,80.71,88.5,-3.85
E0027,2026-05,Operations,OPS-B,Operations Manager 2,152,102,133.0,160,89.1,1953.44,67.11,83.12,-13.6
E0027,2026-06,Operations,OPS-B,Operations Manager 2,153,99,116.1,160,99.18,1750.38,64.71,72.56,-2.4
E0027,2026-07,Operations,OPS-B,Operations Manager 2,161,101,122.7,160,92.24,1933.59,62.73,76.69,-1.98
E0027,2026-08,Operations,OPS-B,Operations Manager 2,152,91,111.4,160,85.56,1740.34,59.87,69.62,-2.86
E0028,2026-01,Operations,OPS-A,Operations Manager 3,127,123,153.0,160,92.16,2295.22,96.85,95.62,
E0028,2026-02,Operations,OPS-A,Operations Manager 3,139,107,136.9,160,90.37,2032.35,76.98,85.56,-19.87
E0028,2026-03,Operations,OPS-A,Operations Manager 3,134,117,144.2,160,91.94,2093.56,87.31,90.12,10.33
E0028,2026-04,Operations,OPS-A,Operations Manager 3,137,116,150.7,160,88.07,1997.74,84.67,94.19,-2.64
E0028,2026-05,Operations,OPS-A,Operations Manager 3,143,105,133.6,160,95.47,1992.96,73.43,83.5,-11.24
E0028,2026-06,Operations,OPS-A,Operations Manager 3,153,114,137.8,160,87.12,2099.04,74.51,86.12,1.08
E0028,2026-07,Operations,OPS-A,Operations Manager 3,143,99,116.6,160,84.36,1842.07,69.23,72.88,-5.28
E0028,2026-08,Operations,OPS-A,Operations Manager 3,161,111,139.2,160,94.26,2074.46,68.94,87.0,-0.29
E0029,2026-01,HR,HR-B,HR Manager 1,72,69,140.0,160,86.74,1894.01,95.83,87.5,
E0029,2026-02,HR,HR-B,HR Manager 1,84,75,149.1,160,87.7,2216.47,89.29,93.19,-6.54
E0029,2026-03,HR,HR-B,HR Manager 1,75,66,130.8,160,89.86,1885.22,88.0,81.75,-1.29
E0029,2026-04,HR,HR-B,HR Manager 1,87,67,129.9,160,96.34,1996.07,77.01,81.19,-10.99
E0029,2026-05,HR,HR-B,HR Manager 1,80,72,138.1,160,96.38,2035.02,90.0,86.31,12.99
E0029,2026-06,HR,HR-B,HR Manager 1,85,79,160.2,160,91.5,2277.13,92.94,100.12,2.94
E0029,2026-07,HR,HR-B,HR Manager 1,91,82,167.4,160,97.14,2254.15,90.11,104.63,-2.83
E0029,2026-08,HR,HR-B,HR Manager 1,92,69,142.9,160,93.18,1844.05,75.0,89.31,-15.11
E0030,2026-01,Quality,QUA-B,Quality Manager 1,99,92,132.7,160,84.9,2192.98,92.93,82.94,
E0030,2026-02,Quality,QUA-B,Quality Manager 1,102,94,126.2,160,93.05,2308.94,92.16,78.88,-0.77
E0030,2026-03,Quality,QUA-B,Quality Manager 1,109,93,135.6,160,94.02,2318.57,85.32,84.75,-6.84
E0030,2026-04,Quality,QUA-B,Quality Manager 1,120,111,160.3,160,89.38,2598.43,92.5,100.19,7.18
E0030,2026-05,Quality,QUA-B,Quality Manager 1,122,108,156.9,160,88.6,2595.34,88.52,98.06,-3.98
E0030,2026-06,Quality,QUA-B,Quality Manager 1,123,94,135.3,160,91.57,2195.71,76.42,84.56,-12.1
E0030,2026-07,Quality,QUA-B,Quality Manager 1,114,102,153.5,160,82.69,2352.79,89.47,95.94,13.05
E0030,2026-08,Quality,QUA-B,Quality Manager 1,120,103,149.7,160,90.23,2419.16,85.83,93.56,-3.64
E0031,2026-01,Sales,SAL-C,Sales Manager 3,39,35,120.3,160,85.41,7377.92,89.74,75.19,
E0031,2026-02,Sales,SAL-C,Sales Manager 3,40,38,127.3,160,88.2,8692.62,95.0,79.56,5.26
E0031,2026-03,Sales,SAL-C,Sales Manager 3,44,39,136.4,160,92.28,8445.95,88.64,85.25,-6.36
E0031,2026-04,Sales,SAL-C,Sales Manager 3,44,38,129.9,160,93.99,8422.27,86.36,81.19,-2.28
E0031,2026-05,Sales,SAL-C,Sales Manager 3,45,39,142.3,160,87.56,8941.67,86.67,88.94,0.31
E0031,2026-06,Sales,SAL-C,Sales Manager 3,53,42,141.5,160,88.78,9859.49,79.25,88.44,-7.42
E0031,2026-07,Sales,SAL-C,Sales Manager 3,47,36,124.9,160,83.25,7576.93,76.6,78.06,-2.65
E0032,2026-01,Operations,OPS-B,Operations Manager 3,126,111,131.5,160,88.11,1994.94,88.1,82.19,
E0032,2026-02,Operations,OPS-B,Operations Manager 3,119,105,127.2,160,85.5,1907.83,88.24,79.5,0.14
E0032,2026-03,Operations,OPS-B,Operations Manager 3,127,107,141.3,160,88.19,1888.89,84.25,88.31,-3.99
E0032,2026-04,Operations,OPS-B,Operations Manager 3,133,114,138.4,160,92.58,1963.72,85.71,86.5,1.46
E0032,2026-05,Operations,OPS-B,Operations Manager 3,134,118,144.9,160,89.88,2141.09,88.06,90.56,2.35
E0032,2026-06,Operations,OPS-B,Operations Manager 3,150,96,122.9,160,93.6,1662.99,64.0,76.81,-24.06
E0032,2026-07,Operations,OPS-B,Operations Manager 3,144,93,116.3,160,94.16,1604.34,64.58,72.69,0.58
