Exception_ID,Exception_Category,Priority,Department,Team,Employee_ID,Period,Metric,Metric_Value,Issue,Business_Impact,Recommended_Action
EXC-0019,Declining Employee Productivity,High,Customer Support,SUP-C,E0017,Recent 3 Months,Productivity Change,-19.07,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0020,Declining Employee Productivity,High,Customer Support,SUP-A,E0034,Recent 3 Months,Productivity Change,-19.04,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0021,Declining Employee Productivity,High,Finance,FIN-B,E0007,Recent 3 Months,Productivity Change,-7.01,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0022,Declining Employee Productivity,High,HR,HR-B,E0029,Recent 3 Months,Productivity Change,-17.94,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0023,Declining Employee Productivity,High,Operations,OPS-A,E0067,Recent 3 Months,Productivity Change,-10.35,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0024,Declining Employee Productivity,High,Operations,OPS-B,E0058,Recent 3 Months,Productivity Change,-10.03,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0025,Declining Employee Productivity,High,Operations,OPS-B,E0080,Recent 3 Months,Productivity Change,-8.55,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0026,Declining Employee Productivity,High,Operations,OPS-B,E0072,Recent 3 Months,Productivity Change,-7.57,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0027,Declining Employee Productivity,High,Operations,OPS-A,E0028,Recent 3 Months,Productivity Change,-5.57,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0028,Declining Employee Productivity,High,Operations,OPS-B,E0027,Recent 3 Months,Productivity Change,-4.84,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0029,Declining Employee Productivity,High,Quality,QUA-B,E0054,Recent 3 Months,Productivity Change,-17.3,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0030,Declining Employee Productivity,High,Sales,SAL-A,E0075,Recent 3 Months,Productivity Change,-20.71,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0031,Declining Employee Productivity,High,Sales,SAL-A,E0055,Recent 3 Months,Productivity Change,-17.09,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0032,Declining Employee Productivity,High,Sales,SAL-A,E0049,Recent 3 Months,Productivity Change,-14.08,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0033,Declining Employee Productivity,High,Sales,SAL-A,E0045,Recent 3 Months,Productivity Change,-11.45,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0034,Declining Employee Productivity,High,Sales,SAL-C,E0031,Recent 3 Months,Productivity Change,-10.07,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0035,Declining Employee Productivity,High,Technology,TEC-B,E0009,Recent 3 Months,Productivity Change,-18.4,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0036,Declining Employee Productivity,High,Technology,TEC-A,E0079,Recent 3 Months,Productivity Change,-18.32,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0037,Declining Employee Productivity,High,Technology,TEC-B,E0078,Recent 3 Months,Productivity Change,-16.8,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0038,Declining Employee Productivity,High,Technology,TEC-B,E0004,Recent 3 Months,Productivity Change,-13.74,Employee productivity declined for three consecutive months,Individual productivity and performance risk,"Provide coaching, workload review and performance support"
EXC-0039,Declining Team Productivity,High,,TEC-B,,Recent 3 Months,Productivity Change,-9.5,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0040,Declining Team Productivity,High,,SAL-A,,Recent 3 Months,Productivity Change,-8.83,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0041,Declining Team Productivity,High,,HR-B,,Recent 3 Months,Productivity Change,-8.1,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0042,Declining Team Productivity,High,,FIN-B,,Recent 3 Months,Productivity Change,-7.01,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0043,Declining Team Productivity,High,,OPS-B,,Recent 3 Months,Productivity Change,-6.21,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0044,Declining Team Productivity,High,,SUP-C,,Recent 3 Months,Productivity Change,-4.26,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0045,Declining Team Productivity,High,,OPS-A,,Recent 3 Months,Productivity Change,-1.15,Team productivity declined for three consecutive months,Potential delivery delay and workload shortfall,Perform team-level root-cause and manager review
EXC-0046,Department Workforce Risk,High,Sales,,,Historical Analysis,Risk Score,4.0,"Low Productivity, High Attrition","Workforce productivity, capacity and retention risk","Review department productivity, overtime, absenteeism and attrition"
EXC-0047,Forecast Capacity Risk,High,Finance,,,2026-09,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0048,Forecast Capacity Risk,High,Finance,,,2026-10,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0049,Forecast Capacity Risk,High,Finance,,,2026-11,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0050,Forecast Capacity Risk,High,HR,,,2026-09,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0051,Forecast Capacity Risk,High,HR,,,2026-10,Recommended Hires,2.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0052,Forecast Capacity Risk,High,Marketing,,,2026-09,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0053,Forecast Capacity Risk,High,Marketing,,,2026-10,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0054,Forecast Capacity Risk,High,Marketing,,,2026-11,Recommended Hires,1.0,"Hiring Required, Workforce Under-Capacity, Expected Workload Shortfall",Forecast workload may exceed available workforce capacity,"Improve productivity, redistribute workload and plan phased hiring"
EXC-0055,Headcount Productivity Mismatch,High,Operations,,,2026-03,Productivity Change,-5.44,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0056,Headcount Productivity Mismatch,High,Operations,,,2026-04,Productivity Change,-1.58,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0057,Headcount Productivity Mismatch,High,Operations,,,2026-07,Productivity Change,-1.2,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0058,Headcount Productivity Mismatch,High,Sales,,,2026-03,Productivity Change,-3.88,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0059,Headcount Productivity Mismatch,High,Sales,,,2026-05,Productivity Change,-5.99,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0060,Headcount Productivity Mismatch,High,Sales,,,2026-06,Productivity Change,-2.73,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0061,Headcount Productivity Mismatch,High,Technology,,,2026-04,Productivity Change,-5.28,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0062,Headcount Productivity Mismatch,High,Technology,,,2026-08,Productivity Change,-5.03,Headcount increased while productivity declined,Additional workforce cost without expected output improvement,"Review onboarding, training, workload and process efficiency"
EXC-0063,Department Workforce Risk,Medium,Customer Support,,,Historical Analysis,Risk Score,2.0,"High Absenteeism, High Overtime","Workforce productivity, capacity and retention risk","Review department productivity, overtime, absenteeism and attrition"
EXC-0064,Department Workforce Risk,Medium,Marketing,,,Historical Analysis,Risk Score,2.0,High Attrition,"Workforce productivity, capacity and retention risk","Review department productivity, overtime, absenteeism and attrition"
EXC-0065,Department Workforce Risk,Medium,Quality,,,Historical Analysis,Risk Score,2.0,High Attrition,"Workforce productivity, capacity and retention risk","Review department productivity, overtime, absenteeism and attrition"
EXC-0066,Department Workforce Risk,Medium,Technology,,,Historical Analysis,Risk Score,2.0,Low Productivity,"Workforce productivity, capacity and retention risk","Review department productivity, overtime, absenteeism and attrition"
EXC-0067,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0001,2026-02,Overtime Hours,10.93,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0068,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0052,2026-02,Overtime Hours,9.34,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0069,Overtime Inefficiency,Medium,Customer Support,SUP-A,E0020,2026-03,Overtime Hours,10.2,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0070,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0017,2026-04,Overtime Hours,15.3,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0071,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0013,2026-06,Overtime Hours,17.27,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0072,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0002,2026-06,Overtime Hours,9.96,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0073,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0026,2026-07,Overtime Hours,20.04,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0074,Overtime Inefficiency,Medium,Customer Support,SUP-A,E0062,2026-07,Overtime Hours,20.02,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0075,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0013,2026-07,Overtime Hours,17.95,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0076,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0039,2026-07,Overtime Hours,15.42,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0077,Overtime Inefficiency,Medium,Customer Support,SUP-A,E0057,2026-07,Overtime Hours,15.33,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0078,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0002,2026-07,Overtime Hours,10.38,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0079,Overtime Inefficiency,Medium,Customer Support,SUP-A,E0062,2026-08,Overtime Hours,16.66,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0080,Overtime Inefficiency,Medium,Customer Support,SUP-A,E0034,2026-08,Overtime Hours,16.01,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0081,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0017,2026-08,Overtime Hours,11.06,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0082,Overtime Inefficiency,Medium,Customer Support,SUP-B,E0002,2026-08,Overtime Hours,11.0,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0083,Overtime Inefficiency,Medium,Customer Support,SUP-C,E0073,2026-08,Overtime Hours,10.3,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0084,Overtime Inefficiency,Medium,Marketing,MKT-A,E0012,2026-08,Overtime Hours,10.6,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0085,Overtime Inefficiency,Medium,Operations,OPS-B,E0065,2026-02,Overtime Hours,9.65,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0086,Overtime Inefficiency,Medium,Operations,OPS-B,E0022,2026-02,Overtime Hours,9.47,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0087,Overtime Inefficiency,Medium,Operations,OPS-A,E0041,2026-03,Overtime Hours,13.58,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0088,Overtime Inefficiency,Medium,Operations,OPS-A,E0067,2026-03,Overtime Hours,11.5,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0089,Overtime Inefficiency,Medium,Operations,OPS-B,E0032,2026-03,Overtime Hours,10.06,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0090,Overtime Inefficiency,Medium,Operations,OPS-B,E0008,2026-03,Overtime Hours,9.97,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0091,Overtime Inefficiency,Medium,Operations,OPS-C,E0024,2026-03,Overtime Hours,9.17,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0092,Overtime Inefficiency,Medium,Operations,OPS-A,E0028,2026-03,Overtime Hours,9.06,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0093,Overtime Inefficiency,Medium,Operations,OPS-B,E0065,2026-04,Overtime Hours,13.87,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0094,Overtime Inefficiency,Medium,Operations,OPS-A,E0041,2026-04,Overtime Hours,12.41,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0095,Overtime Inefficiency,Medium,Operations,OPS-A,E0028,2026-04,Overtime Hours,11.16,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0096,Overtime Inefficiency,Medium,Operations,OPS-A,E0033,2026-04,Overtime Hours,10.0,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0097,Overtime Inefficiency,Medium,Operations,OPS-B,E0022,2026-04,Overtime Hours,9.11,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0098,Overtime Inefficiency,Medium,Operations,OPS-A,E0028,2026-05,Overtime Hours,17.35,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0099,Overtime Inefficiency,Medium,Operations,OPS-C,E0042,2026-05,Overtime Hours,11.01,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0100,Overtime Inefficiency,Medium,Operations,OPS-B,E0027,2026-05,Overtime Hours,10.69,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0101,Overtime Inefficiency,Medium,Operations,OPS-A,E0033,2026-06,Overtime Hours,19.11,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0102,Overtime Inefficiency,Medium,Operations,OPS-A,E0067,2026-06,Overtime Hours,15.75,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0103,Overtime Inefficiency,Medium,Operations,OPS-B,E0058,2026-06,Overtime Hours,15.63,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0104,Overtime Inefficiency,Medium,Operations,OPS-B,E0072,2026-06,Overtime Hours,14.86,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0105,Overtime Inefficiency,Medium,Operations,OPS-B,E0032,2026-06,Overtime Hours,13.84,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0106,Overtime Inefficiency,Medium,Operations,OPS-C,E0063,2026-06,Overtime Hours,13.69,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0107,Overtime Inefficiency,Medium,Operations,OPS-A,E0028,2026-06,Overtime Hours,13.22,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0108,Overtime Inefficiency,Medium,Operations,OPS-A,E0016,2026-06,Overtime Hours,11.32,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0109,Overtime Inefficiency,Medium,Operations,OPS-C,E0024,2026-06,Overtime Hours,11.1,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0110,Overtime Inefficiency,Medium,Operations,OPS-A,E0041,2026-06,Overtime Hours,10.98,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0111,Overtime Inefficiency,Medium,Operations,OPS-A,E0033,2026-07,Overtime Hours,18.13,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0112,Overtime Inefficiency,Medium,Operations,OPS-A,E0028,2026-07,Overtime Hours,16.73,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0113,Overtime Inefficiency,Medium,Operations,OPS-B,E0065,2026-07,Overtime Hours,16.33,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0114,Overtime Inefficiency,Medium,Operations,OPS-B,E0027,2026-07,Overtime Hours,13.92,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0115,Overtime Inefficiency,Medium,Operations,OPS-C,E0024,2026-07,Overtime Hours,13.71,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0116,Overtime Inefficiency,Medium,Operations,OPS-B,E0010,2026-07,Overtime Hours,12.89,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0117,Overtime Inefficiency,Medium,Operations,OPS-B,E0022,2026-07,Overtime Hours,12.37,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0118,Overtime Inefficiency,Medium,Operations,OPS-A,E0016,2026-07,Overtime Hours,10.92,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0119,Overtime Inefficiency,Medium,Operations,OPS-B,E0080,2026-07,Overtime Hours,10.08,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0120,Overtime Inefficiency,Medium,Operations,OPS-B,E0072,2026-07,Overtime Hours,9.71,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0121,Overtime Inefficiency,Medium,Operations,OPS-A,E0067,2026-07,Overtime Hours,9.49,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0122,Overtime Inefficiency,Medium,Operations,OPS-C,E0024,2026-08,Overtime Hours,17.8,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0123,Overtime Inefficiency,Medium,Operations,OPS-A,E0016,2026-08,Overtime Hours,14.77,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0124,Overtime Inefficiency,Medium,Operations,OPS-B,E0022,2026-08,Overtime Hours,14.52,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0125,Overtime Inefficiency,Medium,Operations,OPS-B,E0058,2026-08,Overtime Hours,12.26,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0126,Overtime Inefficiency,Medium,Operations,OPS-C,E0042,2026-08,Overtime Hours,11.77,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0127,Overtime Inefficiency,Medium,Operations,OPS-A,E0041,2026-08,Overtime Hours,11.74,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0128,Overtime Inefficiency,Medium,Operations,OPS-B,E0065,2026-08,Overtime Hours,11.66,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0129,Overtime Inefficiency,Medium,Operations,OPS-C,E0063,2026-08,Overtime Hours,10.4,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0130,Overtime Inefficiency,Medium,Operations,OPS-A,E0067,2026-08,Overtime Hours,10.22,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
EXC-0131,Overtime Inefficiency,Medium,Quality,QUA-A,E0014,2026-07,Overtime Hours,11.27,High overtime with below-median productivity,Higher employee cost without matching productivity improvement,"Review workload allocation, process delay and overtime authorization"
